Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BAT_2996,1,2996,
"C1, C10, C11, C12, C9",0402,5,10u,
"C13, C14",0402,2,1u,
C15,0402,1,220n(5%),
"C16, C18, C36, C38, C40, C8",0402,6,10u(5%),
"C17, C19, C21, C22, C23, C28, C32, C33, C35, C37, C39, C41, C42, C43, C44",0402,15,100n(5%),
"C2, C4, C6",0603,3,100n,
"C20, C31",0402,2,2.2u(5%),
"C24, C25, C26, C27, C29, C30",0402,6,1u(5%),
"C3, C5, C7",0603,3,10n,
C34,0402,1,3.9p(5%),
"D1, D2",LED_SML-P11UTT86R,2,SML-P11UTT86R,
IC1,SON65P200X200X80-7N,1,TMP117AIDRVR,
J1,CONN_7024610xx_MOL,1,702461001,
J2,PinHeader_2x02_P1.27mm_Vertical,1,Conn_02x02_Counter_Clockwise,
"J3, J4",2033890363,2,203389-0363,
L1,INDC2012X145N,1,MLZ2012M100HT000,
L2,INDC2016X180N_6_8uH,1,LBM2016T6R8J,
"LED1, LED3, LED4",SFH2202,3,SFH_2202,
LED2,SFH7050A,1,SFH_7050A,
Q2,SOT65P210X110-6N,1,NX6008NBKSX,
R1,0402,1,39R,
"R11, R9",0402,2,1Meg(1%),
R12,0402,1,0R(1%),
R13_2,0402,1,750k(1%),
R13,0402,1,500k(1%),
"R14, R15, R16",0402,3,5k1(1%),
"R2, R3",0402,2,1k,
R4,0402,1,0R,
R5,0402,1,10k,
R6,0402,1,162k(1%),
R7,0402,1,180k(1%),
R8,0402,1,540k(1%),
"S1, S2",SKRPABE010,2,SKRPABE010,
S3,PCM12SMTR,1,PCM12SMTR,
U10,XCVR_NINA-B306-00B,1,NINA-B306-00B,
"U3, U4",SOT95P280X110-6N,2,TPS61071DDCR,
U5,DBV5,1,TPS73215MDBVREP,
"U6, U7",DBV0005A-IPC_A,2,TPS7A2018PDBVR,
U8,DBV0005A-IPC_A,1,TPS7A2033PDBVR,
U9,UJ_5_ADI,1,ADP7118AUJZ-R7,
Y1,OSC_SIT9003AC-23-18EB-24.000000T,1,SIT9003AC-23-18EB-24.000000T,
