Designator,Mid X,Mid Y,Rotation,Layer
BT1,130.25606,-104.14254,90.0,top
C1,164.75456,-76.09586,90.0,top
C10,155.29433,-98.75901,0.0,top
C11,141.7955,-95.12935,90.0,top
C12,150.27388,-95.46792,0.0,top
C13,153.53538,-95.91548,0.0,top
C14,146.87556,-96.3295,180.0,top
C15,142.3416,-106.04754,0.0,top
C16,140.35018,-106.03484,180.0,top
C17,140.3477,-104.92232,180.0,top
C18,127.67564,-92.87002,180.0,top
C19,127.65786,-93.91396,180.0,top
C2,134.02722,-80.58912,90.0,top
C20,126.4565,-91.7067,180.0,top
C21,146.3167,-103.41864,90.0,top
C22,152.6921,-104.98836,0.0,top
C23,152.81656,-106.89844,0.0,top
C24,146.79422,-112.00892,0.0,top
C25,153.4287,-109.43844,270.0,top
C26,145.11782,-103.42372,90.0,top
C27,141.37894,-98.28022,180.0,top
C28,126.64694,-88.10244,180.0,top
C29,128.0033,-82.24012,180.0,top
C3,136.53722,-80.58912,90.0,top
C30,134.73684,-83.69808,180.0,top
C31,131.52374,-83.53806,90.0,top
C32,160.30448,-71.36892,270.0,top
C33,158.96844,-71.37654,270.0,top
C34,142.33906,-73.58692,270.0,top
C35,160.29178,-76.98232,45.0,top
C36,147.3861,-90.41436,180.0,top
C37,147.3861,-92.38436,180.0,top
C38,147.3861,-94.35436,180.0,top
C39,150.2561,-90.41436,0.0,top
C4,139.04722,-80.58912,90.0,top
C40,150.2561,-92.38436,0.0,top
C41,150.2561,-94.35436,0.0,top
C42,152.14346,-102.45084,270.0,top
C43,143.06296,-97.30359,270.0,top
C44,155.28671,-99.81819,0.0,top
C5,141.55722,-80.58912,90.0,top
C6,143.54604,-90.70624,270.0,top
C7,141.6558,-90.69578,270.0,top
C8,153.32202,-102.46862,270.0,top
C9,143.08074,-95.12935,90.0,top
D1,137.5373,-73.279,90.0,top
D2,139.6873,-73.279,90.0,top
IC1,157.6197,-74.25436,180.0,top
J1,167.45712,-98.7933,90.0,top
J2,160.56356,-68.4403,0.0,top
J3,148.9085,-84.31176,0.0,top
J4,149.02788,-99.2388,0.0,top
L1,138.43508,-111.87684,270.0,top
L2,131.445,-93.48724,0.0,top
LED1,140.1244,-83.88772,135.0,bottom
LED2,148.7361,-90.13274,0.0,bottom
LED3,156.486728,-83.880828,45.0,bottom
LED4,148.67128,-96.49206,180.0,bottom
Q2,138.75508,-75.93838,0.0,top
R1,146.60372,-87.09152,180.0,top
R11,135.0518,-89.28608,0.0,top
R12,141.82906,-71.97598,180.0,top
R13_2,165.67404,-67.25412,270.0,top
R13,159.85998,-79.15656,90.0,top
R14,158.0134,-77.48016,0.0,top
R15,161.40176,-74.9173,180.0,top
R16,161.43478,-73.533,0.0,top
R2,148.89988,-87.33282,180.0,top
R3,150.67788,-87.6173,90.0,top
R4,162.38728,-82.3595,270.0,top
R5,164.74948,-85.60562,90.0,top
R6,127.1631,-89.30132,0.0,top
R7,144.31264,-107.43692,180.0,top
R8,142.37208,-107.43184,180.0,top
R9,128.17656,-90.30716,0.0,top
S1,165.82702,-80.79976,90.0,top
S2,139.25568,-67.85806,180.0,top
S3,171.04924,-71.15812,90.0,top
U10,148.89836,-72.30072,180.0,top
U3,141.90218,-110.39532,90.0,top
U4,131.43554,-90.29188,180.0,top
U5,149.25294,-105.9307,0.0,top
U6,149.19452,-109.91342,0.0,top
U7,142.81404,-101.58222,90.0,top
U8,129.476459,-85.188923,90.0,top
U9,133.90372,-86.29142,0.0,top
Y1,156.22524,-82.08772,0.0,top
