Designator,Mid X,Mid Y,Rotation,Layer
C1,116.61826,-128.98752,90.0,top
C10,122.23496,-122.6058,270.0,top
C11,124.7013,-120.04046,270.0,top
C12,121.5898,-118.31828,0.0,top
C15,130.77444,-131.1823,270.0,top
C16,133.34238,-128.36804,270.0,top
C17,131.88188,-127.3342,270.0,top
C18,129.91344,-126.66872,0.0,top
C2,115.33048,-128.98752,90.0,top
C3,119.65102,-131.62658,90.0,top
C32,132.88772,-95.17126,180.0,top
C33,134.8639,-95.18904,0.0,top
C34,118.07444,-98.03384,270.0,top
C4,121.46458,-131.62912,90.0,top
C7,128.405981,-118.86946,90.0,top
C8,135.723721,-118.88978,90.0,top
C9,123.41352,-119.0371,270.0,top
D1,115.61572,-132.46214,180.0,top
D2,130.33756,-111.22618,270.0,top
D3,121.6914,-111.27232,270.0,top
FB1,122.0056,-135.44668,0.0,top
FB2,120.57982,-129.43196,0.0,top
IC1,119.68988,-120.69064,0.0,top
IC2,128.04296,-129.05388,0.0,top
J1,139.5476,-116.73332,270.0,top
J2,138.938,-93.08846,180.0,top
J3,115.1476,-141.05246,0.0,top
J6,112.59312,-110.14964,0.0,top
Q1,125.79788,-109.87702,0.0,top
R1,119.85422,-133.45024,180.0,top
R10,134.87146,-129.88944,0.0,top
R12,117.56644,-96.28632,180.0,top
R13,132.41782,-102.81666,90.0,top
R2,113.3676,-135.34508,180.0,top
R3,116.83492,-117.31552,270.0,top
R4,116.32238,-119.56288,180.0,top
R5,123.42876,-121.02392,270.0,top
R6,126.15926,-121.9708,0.0,top
R7,125.27026,-126.09268,270.0,top
R8,124.7394,-127.92856,180.0,top
R9,131.81838,-129.34334,270.0,top
S2,114.43208,-101.10216,90.0,top
S3,143.13192,-101.12502,90.0,top
U10,125.21108,-96.58524,180.0,top
U2,132.177881,-119.36222,0.0,top
